date,Open,High,Low,Close,Volume
08/09/2019 16:00,10000,10357.53,10000,10340.12,471.661
08/09/2019 20:00,10340.12,10412.65,10324.77,10391.63,2624.63
09/09/2019 0:00,10316.62,10316.68,10267.37,10297.89,779.449
09/09/2019 4:00,10297.89,10316.34,10092.71,10149.47,2664.789
09/09/2019 8:00,10149.47,10475.54,10077.22,10414.6,2466.485
09/09/2019 12:00,10411.7,10411.7,10302.69,10314.26,3386.015
09/09/2019 16:00,10314.26,10333.55,10183.31,10308.87,3915.329
09/09/2019 20:00,10307.8,10420.65,10228.28,10307,1612.306
10/09/2019 0:00,10307,10382.97,10266.61,10307.25,1547.455
10/09/2019 4:00,10309.17,10329.24,10226.81,10272.46,1706.083
10/09/2019 8:00,10271.93,10290.01,10206.87,10254.56,1409.001
10/09/2019 12:00,10252.7,10270.58,10167.91,10179.1,1529.81
10/09/2019 16:00,10172.13,10237.41,9940.87,10026.56,1413.946
10/09/2019 20:00,10021.49,10127.22,9991.73,10102.02,1462.66
11/09/2019 0:00,10094.27,10293.11,10051,10093.88,1377.981
11/09/2019 4:00,10091.53,10097.65,9884.31,10067.46,1416.504
11/09/2019 8:00,10068.41,10138.01,9988.69,10070.53,1031.664
11/09/2019 12:00,10062.34,10101.38,9973.15,9991.84,1826.186
11/09/2019 16:00,9992.18,10123.29,9934.11,10077.6,2623.529
11/09/2019 20:00,10073.64,10184.66,10064.11,10159.55,2622.058
12/09/2019 0:00,10163.06,10205.46,10085.88,10113.43,2704.325
12/09/2019 4:00,10116.97,10129.19,10042.12,10078.96,2502.598
12/09/2019 8:00,10079.76,10187.9,10076.95,10170.93,2531.512
12/09/2019 12:00,10170,10365.15,10170,10326.58,2529
12/09/2019 16:00,10327.25,10349.91,10239.42,10308.8,2724.169
12/09/2019 20:00,10301.82,10450.13,10300.85,10415.13,2618.03
13/09/2019 0:00,10414.96,10440.55,10329.3,10364.64,2483.692
13/09/2019 4:00,10364.82,10399.81,10267.89,10284.03,3589.585
13/09/2019 8:00,10283.68,10327.14,10251.99,10306.52,3343.982
13/09/2019 12:00,10306.52,10344,10270,10296.57,3556.49
13/09/2019 16:00,10294.81,10310.08,10186.34,10210.25,3278.396
13/09/2019 20:00,10210.25,10355.85,10153.51,10341.34,3000.576
14/09/2019 0:00,10343.01,10353.72,10267.08,10280.77,3297.903
14/09/2019 4:00,10280.58,10330.61,10259.75,10316.67,2973.282
14/09/2019 8:00,10319.07,10348,10287.53,10291.93,3337.285
14/09/2019 12:00,10292.13,10396.4,10222.77,10358,4138.968
14/09/2019 16:00,10355.61,10398,10325.41,10363.8,3532.679
14/09/2019 20:00,10363.63,10419.97,10317.39,10332.25,3376.507
15/09/2019 0:00,10333.47,10359.2,10024.81,10303.39,3539.363
15/09/2019 4:00,10302.49,10326.59,10273.21,10308.96,3019.367
15/09/2019 8:00,10308.08,10320,10268.55,10296.63,3250.042
15/09/2019 12:00,10296.54,10317.29,10252.28,10306.37,3755.871
15/09/2019 16:00,10306.79,10332.61,10280.14,10294.68,3603.548
15/09/2019 20:00,10294.46,10316.45,10265.32,10302.22,3368.064
16/09/2019 0:00,10302,10353.81,10300,10300.07,3490.788
16/09/2019 4:00,10300.24,10325,10279.69,10302.3,3131.662
16/09/2019 8:00,10301.95,10316.71,10275.74,10282.74,3112.623
16/09/2019 12:00,10282.03,10282.03,10115,10120.07,3548.878
16/09/2019 16:00,10117.4,10160.39,10080.7,10124.17,3419.057
16/09/2019 20:00,10120.37,10329.38,10119.29,10249.27,3482.629
17/09/2019 0:00,10257.3,10261.36,10175.2,10224.09,3556.014
17/09/2019 4:00,10225.02,10230.79,10165,10201.89,3853.531
17/09/2019 8:00,10202.92,10205.81,10136.77,10163,3791.041
17/09/2019 12:00,10162.7,10244.27,10151.62,10201.14,3859.972
17/09/2019 16:00,10201.09,10262.49,10200.39,10255.91,3683.462
17/09/2019 20:00,10256.52,10270.63,10171.37,10186.52,3775.587
18/09/2019 0:00,10183.87,10256.65,10183.87,10206.05,3573.478
18/09/2019 4:00,10206.02,10228.41,10185.6,10198.54,3431.504
18/09/2019 8:00,10199.39,10199.47,10150,10156.12,3257.517
18/09/2019 12:00,10156.7,10210,10097.92,10172.91,4003.08
18/09/2019 16:00,10172.84,10212.25,10132.51,10171.17,3340.706
18/09/2019 20:00,10172.65,10211.9,10143,10155.16,3226.61
19/09/2019 0:00,10154.7,10185.55,9530.02,9821.97,4653.142
19/09/2019 4:00,9820.96,9916,9780.75,9872.38,3896.305
19/09/2019 8:00,9872.71,9895.37,9820,9856.5,3859.26
19/09/2019 12:00,9856.5,9893.57,9845.11,9880.36,3577.789
19/09/2019 16:00,9882,10109.51,9875.25,10086.98,4871.372
19/09/2019 20:00,10088.91,10331.62,10088.91,10245.3,5370.886
20/09/2019 0:00,10247.7,10279.3,10154.7,10214.76,4230.857
20/09/2019 4:00,10212.78,10222.92,10148.99,10156.45,3706.694
20/09/2019 8:00,10156.11,10187.1,10121.3,10173.72,3454.159
20/09/2019 12:00,10172.45,10236.19,10141.31,10180.66,4066.386
20/09/2019 16:00,10179.55,10189.13,10070.5,10161.6,3987.006
20/09/2019 20:00,10161.4,10185.34,10070.67,10166.35,3820.808
21/09/2019 0:00,10166.56,10175.3,10116.8,10124.75,3662.893
21/09/2019 4:00,10124.35,10126.81,9963.02,10079.89,4673.538
21/09/2019 8:00,10081.07,10081.07,9983.25,10046.6,3967.174
21/09/2019 12:00,10046.6,10067,9912.63,10037.11,3990.876
21/09/2019 16:00,10037.05,10056,9959.97,10016.8,3519.366
21/09/2019 20:00,10016.78,10023.56,9943.05,9983.33,3828.54
22/09/2019 0:00,9992.7,10001.98,9862.81,9872.07,4561.077
22/09/2019 4:00,9872,10053.56,9857,10023.53,3791.352
22/09/2019 8:00,10024.91,10089.52,9978.96,10001.83,3755.569
22/09/2019 12:00,10000.53,10057.43,9932.01,9989.89,3816.779
22/09/2019 16:00,9990,10025,9949.2,9987.48,4011.848
22/09/2019 20:00,9987.61,10073.46,9982.6,10023.04,3979.729
23/09/2019 0:00,10027.69,10046.91,9950,9975.58,4722.711
23/09/2019 4:00,9978.57,9983.81,9878.51,9904,3827.303
23/09/2019 8:00,9904,9968.49,9904,9915.09,3484.654
23/09/2019 12:00,9914.11,9951.05,9708.91,9867.06,7566.861
23/09/2019 16:00,9867.54,9883.89,9779,9805.1,4499.082
23/09/2019 20:00,9804.39,9836.28,9620,9701.96,7826.451
24/09/2019 0:00,9701.1,9792.83,9603.5,9718.71,4279.612
24/09/2019 4:00,9718.63,9791.07,9689,9755.67,2594.573
24/09/2019 8:00,9754.05,9768,9680.27,9726.09,3996.677
24/09/2019 12:00,9725.67,9729.07,9408.47,9530,15301.878
24/09/2019 16:00,8683.2,8689.49,8645.61,8645.61,10.814
24/09/2019 20:00,8358.01,8755.44,8137.09,8495.83,23548.671
25/09/2019 0:00,8493.32,8725.24,8492.65,8565.61,8267.585
25/09/2019 4:00,8565.52,8589.25,8200,8322.35,7839.039
25/09/2019 8:00,8325.28,8546.73,8215,8327.38,7480.944
25/09/2019 12:00,8324.27,8460,8242.61,8293.28,9081.314
25/09/2019 16:00,8295.79,8408.31,8223.71,8346.96,6397.273
25/09/2019 20:00,8346.96,8628.44,8332.41,8430.07,9155.947
26/09/2019 0:00,8428.15,8443.55,8316.61,8361.8,4251.146
26/09/2019 4:00,8361.82,8431,8335.72,8379,3154.622
26/09/2019 8:00,8378.75,8464.4,8367.89,8387.08,3514.373
26/09/2019 12:00,8387,8438.88,7825.89,7921.82,21856.29
26/09/2019 16:00,7924.55,8160.5,7700.67,8131.12,22026.303
26/09/2019 20:00,8131.23,8157,8010,8060.15,5263.211
27/09/2019 0:00,8061.98,8093.21,7940.37,8019.99,4893.075
27/09/2019 4:00,8019.15,8081.49,7951.77,8060.01,3443.524
27/09/2019 8:00,8060,8128.78,7951.37,7988.08,6616.751
27/09/2019 12:00,7984.71,8097,7851.94,7977.1,11382.027
27/09/2019 16:00,7976.3,8060.01,7934.73,7990.7,6032.962
27/09/2019 20:00,7990.01,8260,7980,8176.52,7666.314
28/09/2019 0:00,8178.26,8211.21,8120.02,8164.01,3244.046
28/09/2019 4:00,8164.51,8222.11,8141.18,8211.76,2915.339
28/09/2019 8:00,8212.47,8243.54,8124.03,8133.23,3799.958
28/09/2019 12:00,8132.68,8135.7,8001.14,8064.07,7324.607
28/09/2019 16:00,8067.1,8179,8038.28,8146.66,4763.487
28/09/2019 20:00,8145.7,8311,8057.35,8195.38,11773.482
29/09/2019 0:00,8199,8226.35,8121.96,8130.22,4124.529
29/09/2019 4:00,8130.16,8141.26,8040.11,8083.08,4554.654
29/09/2019 8:00,8086.33,8116.99,8031.34,8073.12,4084.898
29/09/2019 12:00,8072.89,8078.05,7888.98,7965.7,8625.319
29/09/2019 16:00,7965.7,8032.73,7920.01,7956.4,6285.116
29/09/2019 20:00,7951.59,8127.06,7918.75,8041.96,8291.54
30/09/2019 0:00,8042.08,8054.82,7953.58,7972.07,6088.484
30/09/2019 4:00,7972.03,7974.75,7709.01,7792.82,13568.502
30/09/2019 8:00,7793.19,8094.48,7775.01,8034.78,12089.775
30/09/2019 12:00,8033.48,8300.66,7982.08,8280,14038.751
30/09/2019 16:00,8277.05,8331.89,8186,8269.65,4567.829
30/09/2019 20:00,8268.61,8288.86,8162,8285.84,4059.179
01/10/2019 0:00,8285.31,8499,8171,8392.36,7442.336
01/10/2019 4:00,8392.39,8466.75,8341,8405.03,3662.252
01/10/2019 8:00,8400.79,8409,8285,8353,5275.655
01/10/2019 12:00,8350.14,8424.72,8270,8361.09,7066.94
01/10/2019 16:00,8361.18,8494.49,8225.03,8295.66,10918.966
